task,success,onnx_path,skipped,params,loss,epoch,hidden_dim,error
task365.json,True,.\task365.onnx,,130234.0,0.00012512355169747025,1400.0,48.0,
task366.json,False,,,,,,,Attempt failed
task380.json,True,.\task380.onnx,,130234.0,8.682116458658129e-05,400.0,48.0,
task381.json,True,.\task381.onnx,,130234.0,0.00012053433601977304,400.0,48.0,
task368.json,False,,,,,,,Attempt failed
task370.json,False,,,,,,,Attempt failed
task374.json,False,,,,,,,Attempt failed
task386.json,True,.\task386.onnx,,130234.0,0.00011370557331247255,300.0,48.0,
task377.json,False,,,,,,,Attempt failed
task378.json,False,,,,,,,Attempt failed
task389.json,True,.\task389.onnx,True,,,,,
task379.json,False,,,,,,,Attempt failed
task382.json,False,,,,,,,Attempt failed
task383.json,False,,,,,,,Attempt failed
task384.json,False,,,,,,,Attempt failed
task385.json,False,,,,,,,Attempt failed
task395.json,True,.\task395.onnx,True,,,,,
task390.json,True,.\task390.onnx,,130234.0,0.00010121215746039525,650.0,48.0,
task397.json,True,.\task397.onnx,,130234.0,0.00018208613619208336,400.0,48.0,
task387.json,False,,,,,,,Attempt failed
task394.json,True,.\task394.onnx,,130234.0,9.02507163118571e-05,650.0,48.0,
task388.json,False,,,,,,,Attempt failed
task001.json,True,.\task001.onnx,True,,,,,
task002.json,True,.\task002.onnx,True,,,,,
task003.json,True,.\task003.onnx,True,,,,,
task004.json,True,.\task004.onnx,True,,,,,
task391.json,False,,,,,,,Attempt failed
task006.json,True,.\task006.onnx,True,,,,,
task007.json,True,.\task007.onnx,True,,,,,
task008.json,True,.\task008.onnx,True,,,,,
task399.json,True,.\task399.onnx,,130234.0,7.383459887932986e-05,550.0,48.0,
task392.json,False,,,,,,,Attempt failed
task011.json,True,.\task011.onnx,True,,,,,
task012.json,True,.\task012.onnx,True,,,,,
task393.json,False,,,,,,,Attempt failed
task014.json,True,.\task014.onnx,True,,,,,
task015.json,True,.\task015.onnx,True,,,,,
task016.json,True,.\task016.onnx,True,,,,,
task017.json,True,.\task017.onnx,True,,,,,
task018.json,True,.\task018.onnx,True,,,,,
task396.json,False,,,,,,,Attempt failed
task020.json,True,.\task020.onnx,True,,,,,
task400.json,True,.\task400.onnx,,130234.0,0.00017791321442928165,1100.0,48.0,
task398.json,False,,,,,,,Attempt failed
task023.json,True,.\task023.onnx,True,,,,,
task005.json,False,,,,,,,Attempt failed
task009.json,False,,,,,,,Attempt failed
task026.json,True,.\task026.onnx,True,,,,,
task027.json,True,.\task027.onnx,True,,,,,
task028.json,True,.\task028.onnx,True,,,,,
task029.json,True,.\task029.onnx,True,,,,,
task030.json,True,.\task030.onnx,True,,,,,
task010.json,False,,,,,,,Attempt failed
task032.json,True,.\task032.onnx,True,,,,,
task013.json,False,,,,,,,Attempt failed
task034.json,True,.\task034.onnx,True,,,,,
task035.json,True,.\task035.onnx,True,,,,,
task019.json,False,,,,,,,Attempt failed
task037.json,True,.\task037.onnx,True,,,,,
task038.json,True,.\task038.onnx,True,,,,,
task039.json,True,.\task039.onnx,True,,,,,
task040.json,True,.\task040.onnx,True,,,,,
task041.json,True,.\task041.onnx,True,,,,,
task042.json,True,.\task042.onnx,True,,,,,
task021.json,False,,,,,,,Attempt failed
task044.json,True,.\task044.onnx,True,,,,,
